"subject_id","condition","category","label","selected_group","selected_group_location","selected_group_semantics","concurrent_func"
"8cfba44f-9fdf-47f1-a1cb-da0e45ee2814","count","lchf","zorp","img/stim_lchf_a.png","left","con",1
"8cfba44f-9fdf-47f1-a1cb-da0e45ee2814","count","mcmf","toma","img/stim_mcmf_b.png","right","con",1
"8cfba44f-9fdf-47f1-a1cb-da0e45ee2814","count","hchf","sarel","img/stim_hchf_b.png","left","con",1
"8cfba44f-9fdf-47f1-a1cb-da0e45ee2814","count","lclf","blicket","img/stim_lclf_b.png","right","con",1
"8cfba44f-9fdf-47f1-a1cb-da0e45ee2814","count","hclf","garn","img/stim_hclf_a.png","left","con",1
"5f4de598-aac3-4f30-afe6-21d276f3a618","mass","lclf","sarel","img/stim_lclf_a.png","left","ind",0
"5f4de598-aac3-4f30-afe6-21d276f3a618","mass","hclf","zorp","img/stim_hclf_b.png","left","ind",0
"5f4de598-aac3-4f30-afe6-21d276f3a618","mass","mcmf","blicket","img/stim_mcmf_b.png","left","con",1
"5f4de598-aac3-4f30-afe6-21d276f3a618","mass","hchf","toma","img/stim_hchf_b.png","left","con",1
"5f4de598-aac3-4f30-afe6-21d276f3a618","mass","lchf","garn","img/stim_lchf_a.png","right","con",1
"496661e7-0d9b-46aa-a136-273dcef75205","mass","hchf","garn","img/stim_hchf_a.png","left","ind",0
"496661e7-0d9b-46aa-a136-273dcef75205","mass","lclf","sarel","img/stim_lclf_b.png","right","con",1
"496661e7-0d9b-46aa-a136-273dcef75205","mass","hclf","blicket","img/stim_hclf_b.png","right","con",1
"496661e7-0d9b-46aa-a136-273dcef75205","mass","mcmf","zorp","img/stim_mcmf_b.png","right","ind",0
"496661e7-0d9b-46aa-a136-273dcef75205","mass","lchf","toma","img/stim_lchf_b.png","left","con",1
"592fc990-adee-4aba-a9ba-930622d72aec","mass","lclf","zorp","img/stim_lclf_b.png","left","ind",0
"592fc990-adee-4aba-a9ba-930622d72aec","mass","hchf","toma","img/stim_hchf_b.png","left","con",1
"592fc990-adee-4aba-a9ba-930622d72aec","mass","hclf","sarel","img/stim_hclf_a.png","left","con",1
"592fc990-adee-4aba-a9ba-930622d72aec","mass","mcmf","blicket","img/stim_mcmf_b.png","right","con",1
"592fc990-adee-4aba-a9ba-930622d72aec","mass","lchf","garn","img/stim_lchf_b.png","left","con",1
"28074052-6cf4-47fe-b97c-5f77f962f271","mass","hchf","sarel","img/stim_hchf_a.png","right","con",1
"28074052-6cf4-47fe-b97c-5f77f962f271","mass","mcmf","zorp","img/stim_mcmf_b.png","left","ind",0
"28074052-6cf4-47fe-b97c-5f77f962f271","mass","lchf","garn","img/stim_lchf_a.png","right","con",1
"28074052-6cf4-47fe-b97c-5f77f962f271","mass","hclf","blicket","img/stim_hclf_a.png","right","con",1
"28074052-6cf4-47fe-b97c-5f77f962f271","mass","lclf","toma","img/stim_lclf_a.png","right","ind",0
